id	TARGET-40-0A4HLD-01A	TARGET-40-0A4HMC-01A	TARGET-40-0A4HX8-01A	TARGET-40-0A4HXS-01A	TARGET-40-0A4HY5-01A	TARGET-40-0A4I0Q-01A	TARGET-40-0A4I0S-01A	TARGET-40-0A4I0W-01A	TARGET-40-0A4I3S-01A	TARGET-40-0A4I42-01A	TARGET-40-0A4I48-01A	TARGET-40-0A4I4M-01A	TARGET-40-0A4I4O-01A	TARGET-40-0A4I5B-01A	TARGET-40-0A4I65-01A	TARGET-40-0A4I6O-01A	TARGET-40-0A4I8U-01A	TARGET-40-0A4I9K-01A	TARGET-40-PAKFVX-01A	TARGET-40-PAKXLD-01A	TARGET-40-PAKZZK-01A	TARGET-40-PALECC-01A	TARGET-40-PALFYN-01A	TARGET-40-PALHRL-01A	TARGET-40-PALKDP-01A	TARGET-40-PALKGN-01A	TARGET-40-PALWWX-01A	TARGET-40-PALZGU-01A	TARGET-40-PAMEKS-01A	TARGET-40-PAMHLF-01A	TARGET-40-PAMHYN-01A	TARGET-40-PAMJXS-01A	TARGET-40-PAMLKS-01A	TARGET-40-PAMRHD-01A	TARGET-40-PAMTCM-01A	TARGET-40-PAMYYJ-01A	TARGET-40-PANGPE-01A	TARGET-40-PANGRW-01A	TARGET-40-PANMIG-01A	TARGET-40-PANPUM-01A	TARGET-40-PANSEN-01A	TARGET-40-PANVJJ-01A	TARGET-40-PANXSC-01A	TARGET-40-PANZHX-01A	TARGET-40-PANZZJ-01A	TARGET-40-PAPIJR-01A	TARGET-40-PAPKWD-01A	TARGET-40-PAPNVD-01A	TARGET-40-PAPWWC-01A	TARGET-40-PAPXGT-01A	TARGET-40-PARBGW-01A	TARGET-40-PARDAX-01A	TARGET-40-PARFTG-01A	TARGET-40-PARGTM-01A	TARGET-40-PARJXU-01A	TARGET-40-PARKAF-01A	TARGET-40-PASEBY-01A	TARGET-40-PASEFS-01A	TARGET-40-PASFCV-01A	TARGET-40-PASKZZ-01A	TARGET-40-PASNZV-01A	TARGET-40-PASRNE-01A	TARGET-40-PASSLM-01A	TARGET-40-PASUUH-01A	TARGET-40-PASYUK-01A	TARGET-40-PATAWV-01A	TARGET-40-PATEEM-01A	TARGET-40-PATJVI-01A	TARGET-40-PATKSS-01A	TARGET-40-PATMIF-01A	TARGET-40-PATMPU-01A	TARGET-40-PATMXR-01A	TARGET-40-PATPBS-01A	TARGET-40-PATUXZ-01A	TARGET-40-PAUBIT-01A	TARGET-40-PAUTWB-01A	TARGET-40-PAUTYB-01A	TARGET-40-PAUUML-01A	TARGET-40-PAUVUL-01A	TARGET-40-PAUXPZ-01A	TARGET-40-PAUYTT-01A	TARGET-40-PAVALD-01A	TARGET-40-PAVCLP-01A	TARGET-40-PAVDTY-01A	TARGET-40-PAVECB-01A
AAAS	2.77505054	3.316942191	3.865819861	2.994779	3.43666824	3.592899	3.072688936	2.492237764	3.609707691	3.55962641	3.223144488	3.616204761	3.593760107	3.754812694	3.670206	2.818973	3.59184694	2.607863	3.892867	3.712342654	3.844164672	3.306655966	3.456530198	4.217750303	2.895419	4.54963221	2.966448925	3.611184186	2.738551687	3.968708259	3.765948401	5.307825576	4.563280181	3.171959369	3.479813	3.621044	3.463897055	3.471383	3.039770093	3.808786602	3.017013258	3.388960973	4.239283465	3.516897645	3.556919836	3.310252858	3.651281	4.11275017	4.401125	3.897521	2.974694497	3.606536983	3.470601938	3.308681231	3.057311628	3.212102372	3.512429178	4.187522316	2.91201747	2.753411993	3.43432131	3.102641336	3.422165709	4.113275428	3.115249698	3.842797855	3.764186894	3.695604144	3.542344733	3.880637	3.45497863	3.453596593	3.04260932	3.624252996	3.738313884	3.5935211	3.295282215	2.956558534	3.875445885	3.013783815	3.363409404	2.647752	2.901629605	3.949292129	2.63605613
ACADS	2.87524927	3.215927048	2.777935153	2.810093	4.190907162	3.07051	2.777577522	1.929753131	3.597614599	2.611125155	3.053441554	2.852737979	3.115898867	2.568032105	2.563207	2.990556	1.78947887	2.388933	2.774671	2.12535354	2.398076692	2.687396681	2.989738492	2.640805996	2.175908	3.554085355	3.237946061	3.193992467	2.240863823	2.83051901	2.436428388	2.66104267	3.63520878	2.472123802	2.140746	2.968754	2.368935932	2.375512	2.419808529	2.86894352	2.386810946	1.919873962	2.685155252	2.944165036	2.372562128	3.065141438	1.828388	2.29666297	2.723143	3.452358	1.662251082	2.098655361	2.166008383	2.923244279	1.821465324	3.112950289	2.750585068	2.52614395	2.51903861	2.469651584	2.165493939	2.21421808	3.201822027	2.834994307	3.131688251	1.91850073	2.416164165	1.793562995	2.822668972	2.799999	2.522332005	2.415542354	2.216982489	1.797801574	2.902324461	2.88211478	2.72141641	3.806375618	2.697017585	1.912534905	2.116996795	3.023397	2.66766509	1.603359292	2.072723231
ACTR1A	4.75915583	5.205498084	4.178603109	4.185787	4.63815495	3.865186	4.732263772	4.073494648	5.070981742	4.563420526	5.01236307	5.435535256	4.905788918	4.879916471	4.722411	4.434595	5.121728281	4.31228	5.659719	4.900625333	4.924855249	4.53812218	5.462026135	5.080124654	5.25159	5.943876798	5.309823741	5.742706902	4.824289251	4.828149181	4.881253481	4.730906191	5.210034226	4.230564257	4.646503	5.471526	4.674048168	4.724579	4.016059452	5.182835289	4.993425287	4.112474955	5.268950833	5.09394463	5.020671094	4.616040043	5.330067	4.39655683	5.849982	5.804807	5.11053029	5.168212789	5.677223509	5.512738883	4.263620382	4.841223407	4.504353437	4.223013162	4.975529308	3.823341762	4.796358946	4.841208308	4.990687166	5.097560234	5.074201418	4.406264541	6.046248757	5.073845934	5.569828273	5.146024	5.331436513	5.622517508	4.625036646	5.298163404	4.832322949	4.8254244	4.714893898	3.72759377	4.744817695	4.676019113	4.525273357	4.178547	4.973464335	5.606069069	4.036661573
ACTR1B	3.5672412	3.758004628	3.923434458	3.814202	4.04491864	3.556466	4.3276227	4.696489098	4.237907832	3.446163577	3.945888574	4.224850636	5.073546061	4.486624282	3.248246	3.759326	3.766181692	3.318577	4.055274	2.6696391	4.788069667	4.164279444	4.778308468	4.29810107	5.366543	4.651401915	3.772244623	4.70683442	3.557961427	3.810083156	3.6927731	4.26560192	4.095299961	4.056704904	4.12944	4.049352	4.163595338	4.143148	3.187862741	4.064210311	3.708275539	4.209928987	4.90303827	5.103271021	3.437880214	4.431836875	4.257463	5.14197632	4.230426	3.881028	2.985955755	3.084557555	3.654996836	4.288343796	3.952249686	3.970098986	3.46320392	5.51516681	3.596601257	2.638212885	3.442678148	3.460781874	5.000202865	4.025950124	4.035447961	4.775040003	3.891730247	4.860481157	3.46100461	3.893954	3.996596639	4.262951749	4.263019378	3.930831937	5.023632391	4.073940167	3.005202345	4.256633295	5.209484559	4.120476362	3.417987498	4.60521	3.694089	4.859432909	3.951419943
ACTR8	1.74674272	2.688784619	2.130996745	2.431275	2.849298752	2.114267	2.630708331	2.267445908	2.374232687	2.151144434	2.415893845	2.205705292	2.216547989	3.177854025	2.541886	2.633478	2.244491329	2.539531	2.626976	3.016549805	3.006172332	2.87530826	2.705579862	2.19023557	3.102625	2.436694888	3.14357301	2.379953597	2.454202219	2.891710807	2.021017707	2.251537324	2.605541743	2.517603255	2.585491	2.10598	2.677733734	2.668732	2.565158452	2.43464157	2.882506109	2.944820973	2.299654956	2.655306028	2.97094566	2.40819555	2.685155	2.07782406	2.320629	2.5859	2.894390953	2.248899107	2.636288194	2.710238885	0.895612845	3.045774948	2.24701605	3.227787276	2.863165371	2.551540626	2.899310998	3.631872584	2.267296078	2.472097801	2.671316021	3.675127156	2.994036575	2.903250416	2.21881216	2.462942	2.739005565	2.97707839	3.176482354	2.831998811	2.848457694	2.490595801	2.228079841	2.807787666	1.959139534	1.912994691	0.798340891	2.504061	1.726046456	5.045635177	2.774017417
AHI1	2.63721608	1.211572959	2.159855195	1.726395	2.147306699	2.172263	1.791772404	1.572113556	2.417893011	1.672787385	1.929071364	1.578552333	2.464433026	1.736171894	1.363395	1.863066	1.181293413	1.982911	1.53067	2.133990879	1.683651545	1.506043319	1.155619721	1.149194319	2.094743	0.294076649	1.447103068	1.417866014	1.789228446	2.256769143	1.599365407	1.460218329	1.55645394	1.818155217	2.127699	1.424492	1.683561722	1.638445	1.910732662	2.524966332	1.69157883	1.432157687	1.179702123	1.140974927	1.634407402	1.435681927	1.716069	1.96247499	1.191184	1.341018	1.017779413	1.783708083	1.390777727	1.676312548	1.232169543	1.536152393	1.152507948	2.349110462	1.425888934	1.681809051	1.602029225	1.705624094	2.798340891	1.340505301	1.759454145	2.641083553	1.435521921	2.30745767	1.438559007	1.401903	1.542208514	2.614898265	2.141988573	2.3918227	1.385927957	1.15367565	1.299420514	2.174310534	1.134680951	1.286171451	1.046910083	2.997274	1.283625501	1.547104291	1.128161401
AK5	2.50187221	3.481273105	2.005292186	1.567594	1.142217362	0.1183597	4.237250121	0.95188615	0.347892388	3.753433388	2.3822799	2.953432876	2.97784773	2.454754961	2.608076	0.8170502	3.276958135	3.416826	3.612577	1.735132207	3.841681331	3.513743385	1.681134379	2.952128518	1.537495	2.149779631	1.430017587	1.673782534	1.007410813	2.506627329	1.809949439	3.365846484	1.105812151	3.54348351	2.319155	2.947666	3.06589969	3.526131	1.746097744	1.445196982	1.707082992	1.776019741	2.878372225	3.738681381	1.178109076	3.759006655	1.388024	2.00845103	3.214715	3.436762	1.905966975	3.057120971	2.404903122	3.69798505	0.818523382	3.872267329	3.670862991	0.87034499	2.777535442	3.13707721	3.381061828	2.915042791	2.561912628	2.369215194	2.182406272	2.806055912	3.440739631	2.217633994	2.163885117	3.460035	2.775092694	3.796120099	3.887242553	4.588972424	3.077413924	2.845068471	2.925372849	2.433119698	2.717298052	2.913320284	3.852747965	1.756767	2.730226922	3.360518793	1.407896549
AKAP11	2.7540537	2.472331796	2.626322315	2.475733	2.552672171	2.099598	3.474384123	1.968864898	2.176418524	2.33745421	1.975556821	2.421155961	2.008988783	2.379759569	1.972141	2.437681	2.25939302	2.308681	0.8806463	2.253414493	1.95928794	1.856587375	2.043764442	1.025383221	2.33831	0.602076748	1.486714373	1.999819652	3.176562138	1.493032418	1.659924558	2.421775357	0.878136767	2.096801582	1.83459	1.709732	2.798216451	1.727659	1.926796477	2.100405837	1.91735537	2.090379227	2.13917477	1.623539152	1.495388174	2.46383168	1.831918	2.34195729	1.503094	2.405557	1.980098439	1.973133665	2.236125201	2.86710573	1.821057079	2.896853073	2.149487005	2.386728189	2.036890111	2.384878704	2.186246986	2.517326092	2.817746035	1.099429872	2.851579156	2.831917766	2.389263924	2.63916269	2.495183478	2.303518	2.978049156	2.372311377	3.08106688	2.368489001	1.952221725	2.050710642	1.396707521	2.548436625	1.738767837	1.436801474	1.54823932	1.374789	1.929109248	2.476744584	1.943883829
AKAP9	2.25459404	1.405284449	2.184280294	1.932893	1.326767425	2.447897	2.370387504	1.133432007	1.998773188	1.448108044	1.514097005	1.556552036	2.683090058	2.061154063	1.433654	2.790751	1.903925216	2.377707	1.064124	2.503577716	1.619037321	1.150884571	1.238175419	0.901726133	3.233305	0.765365008	2.233765377	1.679874148	2.45001029	2.16812853	2.375039431	1.671882107	0.966578126	2.172423508	1.639371	2.094945	2.073820233	1.640158	2.116664178	1.890368865	3.412388625	2.180402507	2.152864846	0.98170655	1.052485453	1.557826675	2.203514	2.3554392	0.6807744	1.654481	0.983458812	2.69574889	1.29007047	2.728007558	1.881938647	1.743687297	2.599960435	3.318548233	1.532067552	2.861836292	2.102154192	1.964509533	2.639185848	1.387693396	1.825297185	2.785466854	2.349591743	2.419997245	2.190520047	2.090955	2.161952159	1.651040207	2.473215434	3.00032457	1.784336461	2.047573287	1.017351842	3.372715343	1.686612577	1.654527196	2.084302426	1.958397	1.934176782	1.320195821	2.379177329
AKNA	2.90785207	1.411372008	2.193803277	1.746227	1.439729507	2.35143	1.899717023	2.05630606	2.028533792	1.44905948	2.743859605	2.567277716	2.66537003	2.545004604	1.816886	2.711759	1.699329526	1.363956	1.139404	0.72377697	1.976400298	1.536102647	2.392015112	1.715410195	0.6026469	1.999603204	1.933459333	1.548189989	1.589379995	1.840040183	1.770152459	1.828672198	0.827412574	1.591583681	1.954382	1.408277	1.782198856	1.041173	1.664073184	1.460270761	2.408521663	2.200002066	2.349478515	1.767739536	1.52717045	2.333738573	1.427767	2.27384408	1.420833	1.839113	1.156202432	1.574343754	1.641546029	0.843983844	1.482745045	1.63895425	2.336940307	2.083928155	2.528321263	2.144013729	1.915559143	1.381061828	2.377595776	2.87530826	2.911403973	1.77074449	1.680189309	1.444136957	1.769348599	2.115133	1.879901771	1.608620024	1.624100895	1.347438889	2.98928436	2.361347278	1.587124922	3.114450319	1.198745582	1.442651611	1.78014209	1.821465	2.031183435	1.354621415	2.509290462
ALDOB	0.11529964	0.051024003	0.311154315	0.05658353	0.03885755	0.09450634	0.115965432	0.469990138	0.175173266	0.038436182	0.113300436	0.06681251	0	0.214622201	0.1326426	0	0.21238257	0.08963374	0.1118326	0.199499604	0.236706902	0.049630768	0	0.182310918	0.01621103	0.076422275	0.058385771	0.196229326	0.223793216	0	0.21685836	0.065985829	0	0.133037379	0.1044709	0.04781755	0.032241931	0.03548315	0.009490503	0.116497841	0.21896711	0.07299756	0.155231116	0.032806145	0.017636903	0.053250385	0.1492594	0.64006558	0.2970153	0.1103632	0.153545952	0.043204499	0.036608829	0.059216817	0	0.137241192	0.036327492	0.184851546	0.091395186	0.253021096	0.03407482	0.157949154	0.042644337	0.083792032	0.020199923	0.041242982	0.153935011	0.224657734	0.081475982	0.05311134	0.079838881	0.089362553	0.10514166	0.667483436	0.052137623	0.051859299	0.227741076	0	0	0.124328135	0.034215715	0.09369538	0	0.026304324	0.296545508
ALMS1	1.18052981	1.395117654	1.677124826	1.601411	1.343805752	1.264536	1.252960563	1.455018097	2.069633432	1.31823006	1.436481692	1.441005335	1.241596155	1.649615459	1.609093	1.487898	1.435255205	1.418892	0.8594925	1.728921827	1.752534526	1.129085148	1.203952854	1.230756371	2.652624	1.045023522	1.623539152	1.472019794	2.031995018	1.623305028	1.139076515	1.810031728	0.927365535	1.309234406	1.602077	1.73747	1.54606718	1.203828	1.890719057	1.795018813	1.991716838	1.981195073	1.09065022	0.963474124	1.24895981	1.195410597	1.798175	2.11032983	1.497382	1.548387	0.823912367	2.279411863	1.50771854	1.931909938	1.524615366	1.410123978	1.726002846	1.881977789	1.646300928	1.735045533	1.624989873	1.44911232	2.176897183	1.307953046	1.433333391	2.099261535	1.828631582	1.51551062	1.625036646	1.491443	1.647268453	1.94069298	1.99146289	1.843300512	1.629939409	1.02644598	1.301177898	2.46850512	1.21791312	0.954791881	1.18027519	2.206206	1.466914195	0.878607646	1.636589821
ALS2	1.79626549	1.833132974	1.914870633	2.222032	1.488772059	1.38322	1.652234073	1.363171077	2.365384595	1.587124922	1.381504883	1.646623508	2.330443668	1.698396303	1.516368	1.627	1.561399461	1.939264	1.216113	1.447261795	1.68014429	1.924441986	1.272202395	1.388465097	1.920903	1.029205495	1.582507832	1.964213778	2.583374663	1.781485616	0.835924074	1.916744139	1.458801942	1.841449871	1.344374	1.575361	1.586740728	1.061707	1.070526721	1.869239719	1.915214929	1.687732595	2.03797956	1.282380495	0.889862881	1.444879056	2.291633	3.99715689	1.885301	2.211324	1.689791159	1.835560324	1.833902077	2.227124934	1.603406772	2.471967788	1.740754901	2.760050581	1.302757716	1.253202677	2.019417261	2.060116576	1.507566328	1.493801022	1.589715556	1.496820231	2.586260342	1.57758593	2.402749459	1.633245	2.893342793	2.144013729	1.861518719	2.303809967	1.481453951	1.168770384	1.405338916	1.478298822	1.039068188	0.916629505	1.967574424	0.8062003	1.137896932	1.179447354	1.574489082
ANKRD26	1.59005104	0.96110468	1.832322949	1.558708	1.727571988	1.615463	1.370554899	0.481505617	1.269811154	1.203890227	0.641730978	0.688672738	0.803475043	1.585395244	1.040191	1.265317	1.057970069	0.9782689	0.4270698	1.301470587	1.096734127	0.704960471	0.789937869	0.492109553	1.503807	0.564524504	0.698129557	1.161436266	1.224040274	1.350497247	1.247441471	1.137700241	0.853277114	1.182438056	1.514451	2.12138	1.113500481	1.144242	1.311096174	1.916591291	1.63371019	1.248838402	1.202260984	0.611644543	0.865760485	0.909581116	2.145156	2.18830597	0.6287269	1.735089	1.2282338	1.999170212	1.000216388	1.925999419	1.086647913	0.703632307	1.812375001	1.428517625	0.971295228	1.576280258	1.074505436	1.214746523	2.545004604	0.75890009	1.126972856	2.078883047	1.748074745	1.33468268	1.786052635	1.280303	1.148088083	1.375678942	1.457489231	2.103631916	1.523762665	1.642054582	1.101179409	1.953898433	1.493237419	0.913033	1.242084171	2.237135	1.897937398	1.203451766	1.58236331
ANKRD7	0.169925	0.51893793	0.303459302	0.3521935	0.40990682	0.05408439	0.097475959	0.230940776	0.124328135	0.130535557	0.372729271	0.513490746	0.581881464	0.542703792	0.2090166	1.193898	0.396378727	0.2396424	0.06571016	0.152378145	0.571142829	0.244034582	0.348232419	0.210887549	0.3076617	0.63431446	0.456595905	0.820812077	0.539828811	0.383939251	0.911039586	0.098015234	0.645240513	1.444508054	0	0.7388111	0.35918379	0.7597524	0.352306553	0.185105363	0.469885976	1.027861775	0.724301014	0.825704232	0.152118504	0.421371433	0.8498392	0.5651097	0	0.5039593	0.171847314	0.242450074	0.027578727	0.249870047	0.031254025	0.536152393	0.385486259	1.158530925	0.603786553	0.067638717	0.403922105	0.605494334	0.311154315	0.443076151	0.117030053	0.149259365	0.655901322	0.064882852	0.335483256	0.5913922	0.212507085	0.132247798	0.727179863	0.542307584	0.06253622	0.469365054	0.141171172	0	0.503552276	0	0.076148597	1.261049	0.196984664	0	0.613531653
ANKS1B	0.70761313	0.056444801	0.397364885	0.06502077	0.783498562	0.4420146	0.092207438	0.150039693	0.08024833	0.265076777	0.342896037	0.529770982	0.034779158	0.114233744	0.05575096	1.233949	0.164271398	0.2705887	0.00992041	0.015782997	0.086512047	0.079019633	0.032806145	0.08827731	0.08596845	0.410341105	0.191436315	0.059908989	0.037030731	0.156655489	0.081339627	0.101112158	0.052415894	0.077379741	0.2639959	0.3708338	0.108892402	0.647821	0.789854426	0.046281503	0.823993864	0.085832524	0.185866545	0.09963185	0.520950197	0.111832587	0.09112433	1.36418019	0.114367	0.1641426	0.26951197	0.116897018	0.09936254	0.184470737	0.116364757	0.086783766	0.154453593	0.59493067	0.269272578	0.248170473	0.079292767	0.118359726	0.137372364	0.077653186	0.239642442	0.013926706	0.361543798	0.014640947	0.37717929	0.06695024	0.112499976	0.07121349	0.815165514	0.67210848	0.216237552	0.068464451	0.138159145	0.035905384	0.045442971	0.056444801	0.07121349	0.7502635	0.10272531	0.068739591	1.13796249
APC	1.85658738	1.518182605	2.283803271	1.784462	1.884715129	2.230941	2.146296785	1.981925699	3.042171532	2.648028196	1.691891445	1.758814832	1.610180334	2.494850785	1.650121	2.333595	1.991281471	1.63278	0.9438838	2.64267847	1.717298052	1.647821033	1.843059259	0.905273872	2.228357	1.404085654	1.510101108	2.244156396	2.263395035	2.08345167	2.707392265	2.173862988	1.16742216	1.554048507	2.041909	2.307079	1.559883331	1.487641	2.368991789	1.905543451	2.311793718	2.00136991	2.155813984	1.463570146	1.935044795	1.960808225	1.955536	2.55193431	1.884754	2.569953	1.802648189	2.041348131	2.318548233	2.087394948	2.022154722	2.076593298	2.385072044	2.954996551	2.091869055	1.880254513	1.897898687	1.864413986	2.543693838	1.656450606	2.131951594	2.883347108	2.457961944	1.716903123	1.798506795	1.826843	2.073614609	2.489465867	2.206205598	1.767400556	1.681943947	1.864255491	0.849518948	2.215150495	2.073443233	1.550211158	1.915865041	1.856906	1.491904391	0.797179034	1.789311926
APEX1	6.01786179	6.436130183	5.801761378	6.727154	6.174652094	6.027006	5.460880144	5.324392997	5.983433729	4.953479439	5.984596186	5.910404085	6.606649497	6.856015851	6.982104	6.387847	7.194513595	5.639817	6.182615	6.530122257	6.003755133	5.953542296	6.248316609	6.18112641	6.787274	7.260131068	6.524958499	7.217345119	6.434052703	5.693065936	6.391848471	6.634159059	7.175347946	7.138413118	7.939934	7.32651	5.935398456	5.971164	5.541960812	7.850961902	6.100826308	6.671889182	7.075574346	6.663336079	6.092306823	6.157361084	7.899509	6.48930369	6.632095	7.011503	5.553425018	6.21292919	6.425756367	6.395091941	5.437677179	6.219933237	6.128491379	8.070862635	7.136131902	5.991628415	6.067658075	7.050226323	6.75527484	7.30058136	6.078893718	6.946640806	6.906325429	7.206254447	6.487807884	7.306463	6.009994287	5.850261862	6.511548686	6.416181058	7.372825021	6.695274234	6.266003151	6.602137636	5.78412965	5.588534756	5.841668753	5.738095	5.783333543	6.175756116	5.935214563
ARFGEF2	3.22921874	3.160565278	2.861975209	3.017673	3.436188496	3.305591	3.530720009	1.75073512	2.70893764	3.635765998	2.633617203	2.481944703	2.515788132	3.437866901	2.980811	2.08093	2.682640711	2.776715	2.561644	3.002990491	2.35952117	2.631663087	2.118625514	1.398569276	2.516595	1.734265229	2.370582797	3.051215468	3.520019872	2.805436924	2.60345425	3.377679059	2.412239566	2.566717754	1.640251	2.674144	2.530020787	2.321091	2.237686079	2.729944252	2.530020787	2.611290435	2.232599364	2.553532535	1.59344939	2.915482658	3.592613	3.53886093	2.147339	3.367063	2.477288758	2.386700602	2.269003215	3.795787724	2.244704428	3.254064877	2.93128593	3.761359747	2.697195558	2.811101061	2.963215155	3.289775458	3.131968052	1.647590817	2.420778807	3.468791822	3.274500227	2.97480461	2.609305823	3.332865	3.384823459	3.568591558	3.598353294	2.377568014	3.414230266	2.814181243	2.625387397	3.294032524	2.698707445	2.377345899	1.746312766	2.741338	2.464459166	2.211292604	1.948339195
ARHGEF10	2.25238538	2.385237745	3.422905743	2.216269	2.985482214	1.877862	2.432104223	2.66698377	1.971883783	3.442916963	2.203389117	1.602884409	2.23121734	2.596815906	2.627443	1.920103	1.936138503	2.739805	1.886355	1.995086479	2.969380765	2.418378876	1.917087988	1.340904032	1.977866	0.939677937	2.012211084	1.981633493	2.079702372	2.127963378	1.840402806	2.966541212	1.834549424	2.096295592	2.398214	3.247943	2.056097924	1.662114	2.260356926	2.041978863	2.028144768	1.714926858	1.129085148	1.741359117	1.939226578	1.651407656	3.670874	2.14831591	1.907314	2.440022	1.611077929	2.783309968	2.623843456	2.018206857	2.187736081	4.155401144	1.996822574	1.857423709	1.655443425	1.778460921	2.920979227	1.9509909	2.378428388	1.97096406	2.071762669	3.008881249	2.329295848	1.947030221	3.999079989	1.670387	1.847916755	1.792147363	2.119422583	2.191846866	1.904310675	2.885008108	2.311299659	2.793105148	1.744419466	1.970043751	0.762306289	2.137962	1.783708083	1.663344619	1.564475727
ARHGEF7	3.34923788	2.032488802	3.709290636	1.466236	2.188464227	1.785048	2.373843063	2.44448155	2.461869025	2.932854889	3.011245149	2.545795433	2.865364587	2.652257022	2.588613	1.760774	2.094438776	1.514501	1.795808	1.725217635	2.09528308	2.023468281	2.276109513	2.002990491	3.622251	1.605873566	2.524038594	3.58171278	2.284366066	1.829727808	1.625504295	2.244673987	1.482848283	2.767125077	3.135157	1.674054	1.985828278	2.278669	2.019666336	3.37186549	2.30439422	2.619319097	2.212320309	2.249930709	1.519894107	2.374650025	2.26126	3.1443401	1.755913	1.731574	2.442359667	2.614380048	2.087157297	2.302523778	2.693609616	2.23431737	1.863819542	2.007805467	1.997762088	1.895845469	2.26089884	2.543273152	3.007518457	2.163305501	2.341388057	3.539717166	2.602290585	2.325645455	1.729139425	2.072415	2.776756739	3.213425053	2.855431641	3.28504705	1.777493361	2.416083074	2.181070738	1.989320696	1.785508704	2.236921154	1.209078996	1.288595	1.561497221	2.181357028	1.466183346
ARL2	3.60669095	4.289524651	4.491859508	4.719731	5.007787531	4.451402	4.386445399	3.787599627	4.658457149	3.524427314	4.540833227	4.715585914	3.935912287	4.106138902	4.721072	3.401166	4.307115179	4.364285	4.299589	4.273762037	3.837115725	5.013189775	5.133362133	4.917493816	3.698741	5.70572914	3.817316268	4.963691437	4.377831732	3.80428077	3.858398819	4.283544015	5.789452787	3.534186139	5.11542	4.111248	3.514311661	3.682663	3.579723229	4.45468917	3.174086779	4.380674044	4.27223226	4.478583584	4.567886125	4.757129951	4.787354	5.39384518	5.149402	4.85813	3.612953988	4.308652111	4.378442261	3.671055546	3.793292466	3.26933243	4.363157057	4.237777843	3.803175363	3.707193454	3.395638665	3.824350358	3.735143041	6.0157607	4.349428974	4.057450272	4.743891911	6.750019554	4.48591623	4.290476	2.452015499	4.27350097	3.344445053	3.683965882	4.580151516	4.518012602	4.00662118	3.600567112	3.98905724	4.344920792	3.560849437	4.209555	4.757956641	3.766149882	3.90385775
ARL2BP	2.80531309	3.023876305	2.31556623	3.388589	3.430646571	2.623071	3.173415304	2.693208149	2.90906262	3.373202737	3.190030079	3.003943982	3.323860012	3.069066251	3.118542	2.424116	2.313971371	3.658474	1.890797	2.905735978	2.577537593	2.511796922	2.711516932	1.629426567	2.446838	2.36418019	2.131457785	3.534298213	2.852078763	2.934780673	2.168481585	2.57956636	1.58870864	2.022012644	2.391465	2.400483	2.231954584	2.321611	2.647107244	2.254079999	2.351119452	2.784085143	2.502025022	2.563768278	1.895923002	3.262899147	3.142675	3.34528282	2.753005	2.291456	2.662524544	2.830214753	2.760774494	3.459405388	3.721580463	2.694456792	3.043274503	2.991644286	3.475032987	2.392647144	3.249900378	2.876605347	3.014837301	2.358002337	3.110881024	3.572016513	2.6709083	3.698729666	3.193992467	2.806489	2.879196029	2.269422203	3.403690378	2.68212379	3.755581966	3.290778251	2.603169357	2.876133814	2.625597806	2.156590775	2.415217825	2.674393	2.993927921	3.327471806	2.053111336
ARL3	3.67080635	2.921245889	2.545820139	2.525994	2.718767113	2.418946	2.737924668	1.916323768	3.189603197	2.703211467	2.730031233	2.892954393	2.764282453	3.033951526	2.69073	2.539134	2.193077822	2.369243	4.285461	2.564914659	3.005112498	2.713343895	3.072877547	3.320470237	3.845289	2.659856074	3.455544225	3.887807933	2.803144358	2.725741157	2.385099662	2.751549415	3.254609159	2.053424176	3.676933	3.405026	3.053702199	3.419903	3.07808034	3.373202737	2.812251765	2.464354604	3.274321306	3.267385978	3.2660069	2.547128975	4.059995	3.30010908	3.897502	4.140001	3.405039322	3.904696031	3.887593505	3.599674852	3.154275351	2.539158811	2.605067578	2.550137262	2.819770354	2.467879392	2.756489607	2.850359388	3.378067649	3.133053824	3.091852134	3.483751298	4.217866603	3.762168069	3.348246585	2.96179	3.733137378	3.795205883	3.105091361	4.048750595	3.191199405	2.450854928	2.376373742	2.254896336	2.793479761	3.533339078	2.324407399	2.915215	2.900335509	2.56152166	1.90488867
ASPM	3.60207675	1.776904093	3.531843049	2.09004	3.322505058	1.74429	1.089023502	2.114633549	3.177311892	2.565085318	2.174246607	2.456884983	2.8985373	2.970780046	2.002414	2.074094	2.130766169	2.444482	1.282558	3.03567669	2.052902739	2.138912742	1.996244108	2.287028957	2.614427	0.995810106	2.402994975	3.55541126	2.946094512	2.514753498	1.651132078	3.509607175	1.884089909	2.009024626	2.814673	2.683315	2.47420239	1.818442	1.669162862	2.713563855	3.367329126	2.376512661	2.588396833	1.45132982	1.666847467	1.358902579	3.306568	2.99962124	2.189097	2.194623	1.128755306	2.768205502	2.64332518	2.723230887	2.165300975	2.920807776	3.240970644	3.014765903	2.69430077	2.196292286	2.428196002	2.662410608	3.024000464	2.007123724	2.451830925	3.397857712	2.413891905	1.746011726	3.753968159	2.512783	4.352398371	2.979330299	3.726602373	2.418540795	2.74850417	1.378511623	1.805086047	3.197975445	4.691478332	2.201822027	2.440500455	3.615334	2.592181927	1.154194325	1.298482366
