id	TARGET-40-0A4HLD-01A	TARGET-40-0A4HMC-01A	TARGET-40-0A4HX8-01A	TARGET-40-0A4HXS-01A	TARGET-40-0A4HY5-01A	TARGET-40-0A4I0Q-01A	TARGET-40-0A4I0S-01A	TARGET-40-0A4I0W-01A	TARGET-40-0A4I3S-01A	TARGET-40-0A4I42-01A	TARGET-40-0A4I48-01A	TARGET-40-0A4I4M-01A	TARGET-40-0A4I4O-01A	TARGET-40-0A4I5B-01A	TARGET-40-0A4I65-01A	TARGET-40-0A4I6O-01A	TARGET-40-0A4I8U-01A	TARGET-40-0A4I9K-01A	TARGET-40-PAKFVX-01A	TARGET-40-PAKXLD-01A	TARGET-40-PAKZZK-01A	TARGET-40-PALECC-01A	TARGET-40-PALFYN-01A	TARGET-40-PALHRL-01A	TARGET-40-PALKDP-01A	TARGET-40-PALKGN-01A	TARGET-40-PALWWX-01A	TARGET-40-PALZGU-01A	TARGET-40-PAMEKS-01A	TARGET-40-PAMHLF-01A	TARGET-40-PAMHYN-01A	TARGET-40-PAMJXS-01A	TARGET-40-PAMLKS-01A	TARGET-40-PAMRHD-01A	TARGET-40-PAMTCM-01A	TARGET-40-PAMYYJ-01A	TARGET-40-PANGPE-01A	TARGET-40-PANGRW-01A	TARGET-40-PANMIG-01A	TARGET-40-PANPUM-01A	TARGET-40-PANSEN-01A	TARGET-40-PANVJJ-01A	TARGET-40-PANXSC-01A	TARGET-40-PANZHX-01A	TARGET-40-PANZZJ-01A	TARGET-40-PAPIJR-01A	TARGET-40-PAPKWD-01A	TARGET-40-PAPNVD-01A	TARGET-40-PAPWWC-01A	TARGET-40-PAPXGT-01A	TARGET-40-PARBGW-01A	TARGET-40-PARDAX-01A	TARGET-40-PARFTG-01A	TARGET-40-PARGTM-01A	TARGET-40-PARJXU-01A	TARGET-40-PARKAF-01A	TARGET-40-PASEBY-01A	TARGET-40-PASEFS-01A	TARGET-40-PASFCV-01A	TARGET-40-PASKZZ-01A	TARGET-40-PASNZV-01A	TARGET-40-PASRNE-01A	TARGET-40-PASSLM-01A	TARGET-40-PASUUH-01A	TARGET-40-PASYUK-01A	TARGET-40-PATAWV-01A	TARGET-40-PATEEM-01A	TARGET-40-PATJVI-01A	TARGET-40-PATKSS-01A	TARGET-40-PATMIF-01A	TARGET-40-PATMPU-01A	TARGET-40-PATMXR-01A	TARGET-40-PATPBS-01A	TARGET-40-PATUXZ-01A	TARGET-40-PAUBIT-01A	TARGET-40-PAUTWB-01A	TARGET-40-PAUTYB-01A	TARGET-40-PAUUML-01A	TARGET-40-PAUVUL-01A	TARGET-40-PAUXPZ-01A	TARGET-40-PAUYTT-01A	TARGET-40-PAVALD-01A	TARGET-40-PAVCLP-01A	TARGET-40-PAVDTY-01A	TARGET-40-PAVECB-01A
CDC42	6.51279576	6.44759242	6.307439455	6.069309	6.311728337	5.861938	6.290144213	6.134867789	6.332804587	6.886422113	6.331339768	6.634860409	6.36303963	6.541503998	6.123428	6.359516	5.714685129	6.113365	6.508058	6.193111342	6.746046671	6.063591382	6.580501289	5.887988224	6.315909	6.166606998	6.825285736	6.747716346	6.5905122	6.546562679	6.126673502	6.640013508	5.726757664	6.218002274	6.394794	6.231755	5.925923485	6.918175	6.068412856	6.111586409	6.19504438	6.447298168	7.156798051	6.464643765	6.117655567	6.687209095	5.828154	5.82591026	6.042456	7.324745	5.885918403	6.473713866	6.702135275	6.062534061	6.873946046	6.17269152	6.576526673	6.868194113	7.233821927	6.532767342	6.515852772	6.378267107	7.277000925	5.941873947	7.055567692	7.023254243	6.895128091	7.168442472	6.51582124	6.607298	6.632720441	6.067421453	6.799427989	6.195920389	6.199352365	6.437041263	5.999537813	6.914057386	6.395580404	5.811121618	6.096628722	5.391586	6.003768623	5.383109814	5.800304585
CDC42BPG	1.62232129	0.22342255	1.340960985	0.1027253	0.437653878	0.1443075	0.073408955	0.3911078	1.399280488	0.167100969	1.309467259	0.079975377	0.410883777	0.783247097	0.06695024	0.2689134	0.25821739	0.3485724	0.05977058	0.912419935	0.192825404	0.216113358	0.345509924	0.224163787	0.5657921	0.304160547	0.231309516	0.173511248	1.127038912	0.237563718	0.252900029	0.254473108	0.195221593	0.782073015	1.071007	0.3727293	0.22527493	0.1009776	0.148088083	0.98819386	0.49241724	0.313361959	0.533463677	0.202511756	0.363899952	0.621055503	0.4418022	2.41532601	0.1741507	0.1697968	0.584000383	0.197236355	0.065434446	0.078746447	0.518232972	0.935686035	0.173383321	0.842536405	0.143915803	0.140778656	0.923947815	0.652692989	0.229710962	0.21400043	0.629100118	0.301938767	0.650029241	0.052276765	0.091124334	0.3861488	0.522658421	1.015426204	0.455018097	1.356256516	1.414568547	0.292546188	0.747516302	0.511872807	0.477470103	1.073134705	0.176578094	1.048376	0.465295389	0.141432791	0.879940969
CDH23	1.9355729	1.197865391	1.827940937	1.028781	1.730096466	1.768756	1.003746139	0.138814469	0.604545816	3.044481553	1.257795134	0.46571332	0.140124224	0.501719377	1.457174	1.386094	0.832444482	1.142675	0.5554235	2.69483563	0.117296086	1.353492678	0.48707468	0.224781194	0.0691522	0.221938932	2.618778978	0.174406419	0.883386213	2.240222727	0.257855464	4.051424309	0.115033243	0.156137698	2.326307	1.350724	0.506703487	2.018563	2.872040725	3.11593215	2.283180979	1.085832524	0.340733161	0.678793072	1.771463058	0.706022122	0.2501127	3.98872104	0.3105728	0.1825652	0.284987847	0.240985904	0.111432005	2.075087603	3.474942163	0.279887255	0.409798228	0.308244364	0.274172189	1.54532593	0.351176003	0.522156212	1.388630408	0.051720116	0.219091058	0.039278795	1.5958378	0.008917095	1.259242352	0.4683226	0.581303036	0.190678066	0.889940737	0.397036241	2.982455172	0.278936315	0.202762485	0.897085497	0.227124934	2.038717108	0.619929424	2.516847	1.182374488	0.169283661	0.327457434
CDK2	4.66030687	2.959881413	4.880616964	3.028764	3.467944584	3.566949	2.608288833	3.46661407	4.206338463	2.880822638	3.444216486	3.530283035	3.886706211	3.687049487	4.251537	3.900162	3.498199798	2.983514	3.571204	2.916438427	3.871626834	3.502636117	3.162935069	3.29818907	3.916553	3.751110181	3.660940023	4.372882468	3.69174631	3.686085868	3.026410568	3.220144188	2.796929943	3.977563855	4.976011	4.352441	3.986865972	3.3667	3.458040715	3.809177749	2.986720376	3.466366093	3.509037042	3.946646654	3.287664366	3.677012037	3.562511	4.69507514	5.067505	2.947404	3.343663647	4.59792442	3.507084215	4.154170016	4.911562165	3.202715477	3.787829444	4.010931976	3.048061768	3.273038394	4.180378636	3.735597993	4.693012951	3.47750896	3.706519502	4.251582769	4.452555901	3.951391966	3.903501093	3.860834	4.042136503	4.075087603	3.797957167	4.141792439	3.328994394	3.585659635	3.331719546	4.343628119	4.055299791	3.469872956	3.551995811	3.583615	4.08514418	3.04722427	3.175875851
CDK5RAP2	2.93209898	2.364488389	2.814714473	2.679063	3.392331163	2.798237	2.583374663	2.534211045	2.923738691	2.445011534	2.31254901	2.536326489	3.300899788	3.076935282	2.969602	3.022261	2.70904796	2.048585	2.589692	3.324119326	2.982820213	2.321552945	2.880078153	2.341644241	3.221707	1.869555597	2.779049553	2.661726801	2.536376227	3.55165136	2.472357793	3.256829515	2.88455885	2.115366237	3.083469	3.472787	3.05429282	2.125519	2.685984987	3.601268636	3.405270832	3.161194377	3.092731775	2.698218478	2.455964989	2.020733313	3.629753	2.70447362	2.531319	2.27271	2.202793823	2.77810342	2.556919836	2.384409054	2.54974309	2.602551897	2.800164779	3.264851658	2.844245033	2.605067578	3.181706861	2.508656829	3.327543662	2.794519841	2.921645788	3.248458935	2.359886577	2.619812074	3.315218411	2.332507	3.378705819	3.308695791	2.939132527	2.572162076	2.699196245	2.449429314	1.746527757	3.772255182	2.939489888	2.528321263	2.853157324	3.498902	2.694233899	2.266366787	2.140778656
CDK5RAP3	2.59910352	2.910540801	2.888265924	3.296619	3.965063911	3.490917	3.283773644	2.66712006	2.825785627	4.097324252	2.346701648	2.937928132	4.28241015	3.714849949	2.516998	2.966633	3.291338332	3.234409	3.910963	3.533488595	3.768533706	3.751731497	3.162693432	4.154404984	4.088642	3.122755535	3.715476092	3.206893236	2.558512553	3.550494388	3.500445159	3.472656726	4.107051738	3.369620028	3.689322	3.186865	3.159855195	3.811635	3.335183092	4.113425468	3.202997504	3.559540759	3.950729681	3.73954571	3.524063676	4.093340443	3.617722	4.14179244	3.828337	3.951103	3.5243897	3.760412583	3.514425289	3.609908583	2.990138009	3.087157297	3.425794964	3.696683826	2.199342548	2.664619367	3.302713855	3.221799764	3.589823398	3.889210679	3.135879578	3.602243068	4.280622318	4.220151929	2.947086344	2.917756	3.38334487	3.736756388	3.160807272	3.543471137	2.678229691	4.002351479	3.153108135	3.357706822	3.364726498	3.782251286	3.511177042	3.450485	4.063839417	3.456135889	2.686298816
CDK6	1.83644933	2.652188173	3.542926612	3.834378	2.255833043	1.593258	2.623047448	3.116098552	2.326249701	0.607768235	2.012532919	2.4224214	2.843401022	1.592923408	1.941444	3.917298	3.10000207	3.406673	0.9932033	4.759736418	2.842838074	1.141955886	3.040629461	0.635615106	1.900722	2.631569968	2.50019018	1.344998884	4.303188939	3.057276965	2.782261772	1.394898224	0.283092058	1.030759819	4.254949	0.6197417	2.57613511	2.168578	2.52160358	2.624311492	3.96095646	4.029841557	1.778587076	1.688806995	1.732442877	2.339336953	0.6372856	1.81868698	0.8303365	0.6934981	1.479334051	0.652692989	2.047573287	1.791564052	2.413269114	2.240131118	2.87892148	4.485723064	3.39477478	3.144013729	1.444879056	2.510835362	2.203138497	0.668845283	2.791709902	3.635092666	1.592445077	2.775092694	4.293031991	2.69964	0.623773238	0.445091015	2.578214165	0.848477725	2.238572885	2.274738753	0.769094656	4.27351589	0.448372395	1.396817103	1.44143036	4.173231	2.0365385	2.263395035	4.137003412
CDKL2	1.94747915	0.039840265	0.089904868	0	0	0.02743718	0.639324789	0.076011739	0.230571942	0.081884967	0.081748651	0.052276765	0.240985904	0.061845307	0.04096255	0.1807844	0.149389449	0.01492654	0.08447252	0.111164889	0.020768865	0.05630606	0.047817548	0.027720258	0.01049342	0.074368422	0	0.033652052	0.01564029	0.03745251	0.136585153	0.055195654	0.025737561	0.099766486	0.02318437	0.03731193	0.027861775	0.01163876	0.03040671	0.064055064	0	0.078609835	0.093560176	0.042364175	0	0.011638756	0.1174291	1.27619887	0.07148811	0.1016501	0.149519521	0.028144768	0.023894043	0.137110008	0.027012465	0.018491749	0.411751629	0.860764203	0.051580921	0.044184258	0.02219024	0.058939855	0.055056793	0.06377903	0.064193062	0.040120917	1.272978695	0.042364175	0.032241931	0.02970023	0.044883678	0.025454096	0.174022842	0.565402204	0.199122642	0.022616379	0.085424656	0.052276765	0.100439479	0.128689329	0.044324169	0	0.029982866	0.099497201	0.009633819
CDKL5	2.29672169	0.815985227	1.633849659	0.9117299	0.965174762	1.129481	1.08236197	1.51525829	1.631756201	1.683112522	1.379898164	1.484447523	1.231739594	1.208329966	1.242023	1.33908	1.756980563	1.211261	0.4276062	2.12108173	1.328089653	0.921207797	1.222804561	0.901339983	0.811471	0.634500338	1.285461405	1.064675949	1.869910877	1.705845234	1.100237614	1.026870865	0.367035516	1.158918642	0.7483754	0.7900213	1.380618638	0.9753367	1.048445459	1.087123344	1.372673558	2.117096566	1.592349392	0.919912089	1.051511318	0.982874961	1.343806	1.70593368	1.125519	1.799958	0.994579724	1.365524577	1.198934124	1.079087921	1.145220937	1.254594043	1.406318971	1.036749476	1.627513457	1.386479889	1.23878686	1.149519521	1.97929371	0.801986364	1.08004362	1.737773277	1.971000861	1.514753498	1.516116031	0.8621141	1.643717684	1.3305584	1.257795134	1.43983587	0.868054559	1.162918962	0.728138203	1.827737744	0.926454935	1.068189259	1.827209306	1.260809	1.067501049	0.57424686	2.104705674
CENPF	2.8259484	2.569369566	3.306247655	2.812621	4.10514166	2.074094	1.631709645	2.500802053	3.507883419	3.275856318	1.620914791	3.275796737	3.396789708	3.838840864	2.631384	3.714322	2.401056988	3.031236	2.138782	4.099564527	2.253081625	2.638328749	2.929355473	2.058801354	3.683876	2.169476093	3.255485626	4.101910558	3.846393021	3.10723591	2.638931088	3.936044251	1.766171089	2.763071577	3.192526	2.289303	3.190757068	2.271545	2.373564695	3.357552005	3.417771519	3.544658479	1.942645867	2.096464275	2.384933947	2.122473941	3.951746	3.68738548	2.459904	3.015069	1.739156826	3.643463723	2.696394506	3.299376552	3.231370964	2.577561761	4.231417047	4.203929369	3.003800099	3.196166363	3.014730202	3.447394054	4.398541914	3.160871796	2.933119364	4.23814484	2.607223772	2.770850184	4.494524416	3.246408	4.296383986	3.798786713	3.826843352	3.779196673	2.696772836	2.191088833	2.77070221	3.356890324	4.072071491	3.086189313	2.410015403	3.673647	3.027242536	1.733007184	2.211635253
